city,country,pub_location
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
,,","
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Ontario,Canada,"Ontario, Canada"
Basseterre,St. Kitts,"Basseterre, St. Kitts"
Basseterre,St. Kitts,"Basseterre, St. Kitts"
London,England,"London, England"
Basseterre,St. Kitts,"Basseterre, St.Kitts"
Ontario,Canada,"Ontario, Canada"
Basseterre,St. Kitts,"Basseterre, St. Kitts"
Largo,United States,"Largo, United States"
Largo,United States,"Largo, United States"
"Fairfax, VA",United States,"Fairfax, VA, United States"
"Fairfax, VA",United States,"Fairfax, VA, United States"
"Fairfax, VA",United States,"Fairfax, VA, United States"
Glasgow,Scotland,"Glasgow, Scotland"
"New York, NY",United States,"New York, NY, United States"
Basseterre,St. Kitts,"Basseterre, St. Kitts & Nevis"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
San Juan,Trinidad & Tobago,"San Juan, Trinidad & Tobago"
The Morne,St. Lucia,"The Morne, St. Lucia"
"New York, NY",United States,"New York, NY, United States"
Castries,St. Lucia,"Castries, St. Lucia"
Castries,St. Lucia,"Castries, St. Lucia"
Leeds,England,"Leeds, England"
"Evanston, IL",United States,"Evanston, IL, United States"
Leeds,England,"Leeds, England"
Melbourne,Australia,"Melbourne, Australia"
"Amherst, MA",United States,"Amherst, MA, United States"
"Baltimore, MD",United States,"Baltimore, MD, United States"
"Amherst, MA",United States,"Amherst, MA, United States"
Leeds,England,"Leeds, England"
Castries,St. Lucia,"Castries, St. Lucia"
Castries,St. Lucia,"Castries, St. Lucia"
Leeds,England,"Leeds, England"
Mona,Jamaica,"Mona, Jamaica"
San Fernando,Trinidad & Tobago,"San Fernando, Trinidad & Tobago"
Leeds,England,"Leeds, England"
Castries,St. Lucia,"Castries, St. Lucia"
The Morme,St. Lucia,"The Morme, St. Lucia"
"Evanston, IL",United States,"Evanston, IL, United States"
Leeds,England,"Leeds, England"
"Evanston, IL",United States,"Evanston, IL, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
"Evanston, IL",United States,"Evanston, IL, United States"
Leeds,England,"Leeds, England"
Castries,St. Lucia,"Castries, St. Lucia"
London,England,"London, England"
London,England,"London, England"
Paris,France,"Paris, France"
Hamilton,Bermuda,"Hamilton, Bermuda"
Roseau,Dominica,"Roseau, Dominica"
Roseau,Dominica,"Roseau, Dominica"
Portsmouth,Dominica,"Portsmouth, Dominica"
Jackson,United States,"Jackson, United States"
Portsmouth,Dominica,"Portsmouth, Dominica"
Roseau,Dominica,"Roseau, Dominica"
Roseau,Dominica,"Roseau, Dominica"
Walton-on-Thames,England,"Walton-on-Thames, England"
Roseau,Dominica,"Roseau, Dominica"
Roseau,Dominica,"Roseau, Dominica"
"New York, NY",United States,"New York, NY , United States"
Roseau,Dominica,"Roseau, Dominica"
Roseau,Dominica,"Roseau, Dominica"
Roseau,Dominica,"Roseau, Dominica"
Oakland,United States,"Oakland, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Old Saybrook,United States,"Old Saybrook, United States"
Toronto,Canada,"Toronto, Canada"
Modena,Italy,"Modena, Italy"
"New York, NY",United States,"New York, NY, United States"
Burbank,United States,"Burbank, United States"
"New York, NY",United States,"New York, NY, United States"
Carshalton,England,"Carshalton, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Bridgend,Wales,"Bridgend, Wales"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Peterborough,Canada,"Peterborough, Canada"
Glasgow,Scotland,"Glasgow, Scotland"
Kingston,Jamaica,"Kingston, Jamaica"
"Bloomington, IN",United States,"Bloomington, IN, United States"
Oxford,England,"Oxford, England"
Chengdu,China,"Chengdu, China"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Madrid,Spain,"Madrid, Spain"
Barcelona,Spain,"Barcelona, Spain"
Madrid,Spain,"Madrid, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Madrid,Spain,"Madrid, Spain"
Madrid,Spain,"Madrid, Spain"
Barcelona,Spain,"Barcelona, Spain"
"Thousand Oaks, CA",United States,"Thousand Oaks, CA, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Houston, TX",United States,"Houston, TX, United States"
London,England,"London, England"
Paris,France,"Paris, France"
Crows Nest,Australia,"Crows Nest, Australia"
Carlsbad,United States,"Carlsbad, United States"
Tunapuna,Trinidad & Tonbago,"Tunapuna, Trinidad & Tonbago"
Tunapuna,Trinidad & Tonbago,"Tunapuna, Trinidad & Tonbago"
Parker,United States,"Parker, United States"
Portsmouth,United States,"Portsmouth, United States"
Tunapuna,Trinidad & Tonbago,"Tunapuna, Trinidad & Tonbago"
"Baltimore, MD",United States,"Baltimore, MD, United States"
"Amherst, MA",United States,"Amherst, MA, United States"
Norman,United States,"Norman, United States"
Charles Village,United States,"Charles Village, United States"
"Duluth, MN",United States,"Duluth, MN, United States"
"Chicago, IL",United States,"Chicago, IL, United States"
Wilmore,United States,"Wilmore, United States"
Wilmore,United States,"Wilmore, United States"
D'Abadie,Trinidad & Tobago,"D'Abadie, Trinidad & Tobago"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
NA,NA,"NA, NA"
NA,NA,"NA, NA"
Peterborough,England,"Peterborough, England"
NA,NA,"NA, NA"
NA,NA,"NA, NA"
Tunapuna,Trinidad & Tobago,"Tunapuna, Trinidad & Tobago"
NA,NA,"NA, NA"
D'Abadie,Trindad & Tobago,"D'Abadie, Trindad & Tobago"
Northhampton,England,"Northhampton , England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Westminster, LDN",England,"Westminster, LDN, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Barcelona,Spain,"Barcelona, Spain"
NA,France,"NA, France"
Pretoria,South Africa,"Pretoria, South Africa"
"Philadelphia, PA",United States,"Philadelphia, PA, United States"
Leicester,England,"Leicester, England"
"New York, NY",United States,"New York, NY, United States"
"Clarion, PA",United States,"Clarion, PA, United States"
London,England,"London, England"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Kansas City, MO",United States,"Kansas City, MO, United States"
"Kansas City, MO",United States,"Kansas City, MO, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
London,England,"London, England"
Osnabrück,Germany,"Osnabrück, Germany"
Osnabrück,Germany,"Osnabrück, Germany"
London,England,"London, England"
"Medway, MA",United States,"Medway, MA, United States"
"Scott's Valley, CA",United States,"Scott's Valley, CA, United States"
London,England,"London, England"
Harmondsworth,England,"Harmondsworth, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
NA,NA,"NA, NA"
"Boston, MA",United States,"Boston, MA, United States"
London,England,"London, England"
Concord,Canada,"Concord, Canada"
"Caernarfon ([Penygroes, Caernarfon, Gwynedd])",,"Caernarfon ([Penygroes, Caernarfon, Gwynedd]),"
"Portsmouth, NH",England,"Portsmouth, NH, England"
Melbourne,Australia,"Melbourne, Australia"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Brisbane,Australia,"Brisbane, Australia"
"Rochester, NY",United States,"Rochester, NY, United States"
"Warners Bay, N.S.W.",,"Warners Bay, N.S.W.,"
NA,NA,"NA, NA"
"New York, NY",United States,"New York, NY, United States"
Manchester,England,"Manchester, England"
"Aldershot, Hants, England; Burlington, VT",,"Aldershot, Hants, England; Burlington, VT,"
Saarbrücken,Germany,"Saarbrücken, Germany"
Il-Blata l-Bajda,Malta,"Il-Blata l-Bajda, Malta"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Melbourne,Australia,"Melbourne, Australia"
Place of publication not identified,,"Place of publication not identified,"
"Warners Bay, N.S.W.",Canada,"Warners Bay, N.S.W., Canada"
"Warners Bay, N.S.W.",Canada,"Warners Bay, N.S.W., Canada"
"Markham, ON",Canada,"Markham, ON, Canada"
"Markham, ON",Canada,"Markham, ON, Canada"
Aylesbury,England,"Aylesbury, England"
"Concord, ON",Canada,"Concord, ON, Canada"
Aylesbury,England,"Aylesbury, England"
Aylesbury,England,"Aylesbury, England"
"Concord, ON",Canada,"Concord, ON, Canada"
"Salt Lake City, Utah",United States,"Salt Lake City, Utah, United States"
Swansea,Wales,"Swansea, Wales"
"New York, NY",United States,"New York, NY, United States"
Melbourne,Australia,"Melbourne, Australia"
"New York, NY",United States,"New York, NY, United States"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Oxford,England,"Oxford, England"
Manchester,England,"Manchester, England"
Canberra,Australia,"Canberra, Australia"
"Markham, ON",Canada,"Markham, ON, Canada"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Mahwah, NJ",United States,"Mahwah, NJ, United States"
"New York, NY",United States,"New York, NY, United States"
Aylesbury,England,"Aylesbury, England"
Aylesbury,England,"Aylesbury, England"
Aylesbury,England,"Aylesbury, England"
Aylesbury,England,"Aylesbury, England"
Aylesbury,England,"Aylesbury, England"
Aylesbury,England,"Aylesbury, England"
"Bothell, WA",United States,"Bothell, WA, United States"
"Bothell, WA",United States,"Bothell, WA, United States"
"Concord, ON",Canada,"Concord, ON, Canada"
"Bothell, WA",United States,"Bothell, WA, United States"
"Buckinghamshire, LDN",England,"Buckinghamshire, LDN, England"
"Buckinghamshire, LDN",England,"Buckinghamshire, LDN, England"
"Buckinghamshire, LDN",England,"Buckinghamshire, LDN, England"
"Bothell, WA",United States,"Bothell, WA, United States"
"San Diego, CA",United States,"San Diego, CA, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Woodstock, NY",United States,"Woodstock, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Manchester,England,"Manchester, England"
Manchester,England,"Manchester, England"
NA,Australia,"NA, Australia"
"Morrisville, NC",United States,"Morrisville, NC, United States"
Oxfordhsire,England,"Oxfordhsire, England"
"Hoboken, NJ",United States,"Hoboken, NJ, United States"
Swansea,Wales,"Swansea, Wales"
NA,NA,"NA, NA"
Sydney,Australia,"Sydney, Australia"
"Rochester, NY",United States,"Rochester, NY, United States"
"Rochester, NY",United States,"Rochester, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Boston, MA",United States,"Boston, MA, United States"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
"Clairton, PA",United States,"Clairton, PA, United States"
Harlow,England,"Harlow, England"
NA,NA,"NA, NA"
"Carlton; London; New York, NY",,"Carlton; London; New York, NY,"
Aylesbury,England,"Aylesbury, England"
"Red Bank, NJ",United States,"Red Bank, NJ, United States"
Melbourne,Australia,"Melbourne, Australia"
Aberystwyth,Wales,"Aberystwyth, Wales"
Carmarthen,Wales,"Carmarthen, Wales"
Cwmafon,Wales,"Cwmafon, Wales"
Merthyr-Tydfil,Wales,"Merthyr-Tydfil, Wales"
Penygroes,Wales,"Penygroes, Wales"
Machynlleth,Wales,"Machynlleth, Wales"
Carmarthen,Wales,"Carmarthen, Wales"
NA,NA,"NA, NA"
Swansea,Wales,"Swansea, Wales"
Solva,Wales,"Solva, Wales"
Dolgellau,Wales,"Dolgellau, Wales"
Troedyrhiw,Wales,"Troedyrhiw, Wales"
Caernarvon,Wales,"Caernarvon, Wales"
Saint Asaph,Wales,"Saint Asaph, Wales"
Caernarfon,Wales,"Caernarfon, Wales"
"Rochester, NY",United States,"Rochester, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
NA,Australia,"NA, Australia"
Llandysul,Wales,"Llandysul, Wales"
"Woodstock, N.Y.",United States,"Woodstock, N.Y., United States"
"Woodstock, N.Y.",United States,"Woodstock, N.Y., United States"
Barcelona,Spain,"Barcelona, Spain"
NA,Australia,"NA, Australia"
Bristol,England,"Bristol, England"
Logan,United States,"Logan, United States"
Troedyrhiw,Wales,"Troedyrhiw, Wales"
"Tucson, AZ",United States,"Tucson, AZ, United States"
Wrexham,Wales,"Wrexham, Wales"
Ross-on-Wye,England,"Ross-on-Wye, England"
Manchester,England,"Manchester, England"
"Freeport, N.Y.",United States,"Freeport, N.Y., United States"
"New York, NY",United States,"New York, NY, United States"
"Los Angeles, CA",United States,"Los Angeles, CA, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Bloomington, IND",United States,"Bloomington, IND, United States"
"Charlottesville, VA",United States,"Charlottesville, VA, United States"
"Broadway, NY",United States,"Broadway, NY, United States"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
Tokyo,Japan,"Tokyo, Japan"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
NA,Trinidad & Tobago,"NA, Trinidad & Tobago"
NA,Trinidad & Tobago,"NA, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Toronto,Canada,"Toronto, Canada"
Toronto,Canada,"Toronto, Canada"
Leeds,England,"Leeds, England"
"Greenville, N.C.",United States,"Greenville, N.C., United States"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
"Crawley, SX",England,"Crawley, SX, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
Toronto,Canada,"Toronto, Canada"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
Cambridge,England,"Cambridge, England"
Paris,France,"Paris, France"
"Bloomington, IND",United States,"Bloomington, IND, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Houten,Netherlands,"Houten, Netherlands"
Houten,Netherlands,"Houten, Netherlands"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
NA,England,"NA, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Washington, D.C",United States,"Washington, D.C, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Baltimore, MD",United States,"Baltimore, MD, United States"
Hki,Finland,"Hki, Finland"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Stuttgart,Germany,"Stuttgart, Germany"
Stuttgart,Germany,"Stuttgart, Germany"
Zürich,Switzerland,"Zürich, Switzerland"
Frankfurt,Germany,"Frankfurt, Germany"
NA,Germany,"NA, Germany"
Zürich,Switzerland,"Zürich, Switzerland"
Zürich,Switzerland,"Zürich, Switzerland"
Milan,Italy,"Milan, Italy"
Milan,Italy,"Milan, Italy"
"New York, NY",United States,"New York, NY, United States"
Novara,Italy,"Novara, Italy"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Zurich,Switzerland,"Zurich, Switserland"
Zurich,Switzerland,"Zurich, Switserland"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Northampton, MA",United States,"Northampton, MA, United States"
Frankfurt,Germany,"Frankfurt, Germany"
Stockholm,Sweden,"Stockholm, Sweden"
Stockholm,Sweden,"Stockholm, Sweden"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Washington, D.C",United States,"Washington, D.C, United States"
"Ashland, OR",United States,"Ashland, OR, United States"
"Ashland, OR",United States,"Ashland, OR, United States"
"Ashland, OR",United States,"Ashland, OR, United States"
"Ashland, OR",United States,"Ashland, OR, United States"
"Ashland, OR",United States,"Ashland, OR, United States"
München,Germany,"München, Germany"
Stuttgart,Germany,"Stuttgart, Germany"
Milano,Italy,"Milano, Italy"
London,England,"London, England"
St. Augustine,Trinidad & Tobago,"St. Augustine, Trinidad & Tobago"
"Nashville, TN",United States,"Nashville, TN, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Gainesville, FL",United States,"Gainesville, FL, United States"
Leeeds,England,"Leeeds, England"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"University of Miami, MIA",United States,"University of Miami, MIA, United States"
"Chapel Hill,NC",United States,"Chapel Hill,NC, United States"
"Nassau, Bahamas",Bahamas,"Nassau, Bahamas, Bahamas"
Michigan,United States,"Michigan, United States"
"New York, NY",United States,"New York, NY, United States"
,,","
Toronto,,"Toronto,"
Toronto,,"Toronto,"
Toronto,,"Toronto,"
,,","
Paris,,"Paris,"
,,","
,,","
,,","
,,","
,,","
,,","
,,","
Edmonton,,"Edmonton,"
,,","
Montréal,,"Montréal,"
,,","
,,","
,,","
,,","
Place of publication not identified,,"Place of publication not identified,"
,,","
,,","
,,","
,,","
"Harlow, Essex",,"Harlow, Essex,"
S.l.,,"S.l.,"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Harlow,England,"Harlow, England"
London,England,"London, England"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
London,England,"London, England"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
London,England,"London , England"
Philipsburg,St. Maarten,"Philipsburg, St. Maarten"
Philipsburg,St. Maarten,"Philipsburg, St. Maarten"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
,,","
"Habana, Cuba",,"Habana, Cuba,"
Edingurgh,,"Edingurgh,"
Paramaribo,,"Paramaribo,"
,,","
Paris,,"Paris,"
La Habana,,"La Habana,"
,,","
,,","
,,","
London,,"London,"
Paris,,"Paris,"
,,","
,,","
,,","
"Cascade, Port of Spain, Trinidad & Tobago",,"Cascade, Port of Spain, Trinidad & Tobago,"
Place of publication not identified,,"Place of publication not identified,"
,,","
,,","
London,,"London,"
"New York, NY City",United States,"New York, NY City, United States"
Boston,,"Boston,"
"Castries, Saint Lucia",,"Castries, Saint Lucia,"
"Castries, Saint Lucia",,"Castries, Saint Lucia,"
,,","
,,","
,,","
Tubingen,Germany,"Tubingen, Germany"
Paris,,"Paris,"
,,","
,,","
,,","
,,","
London,,"London,"
,,","
,,","
,,","
,,","
Kingston,,"Kingston,"
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
"Miami, FL, FL, USA",,"Miami, FL, FL, USA,"
La Habana,,"La Habana,"
Vaduz,,"Vaduz,"
Barcelona,,"Barcelona,"
,,","
México,,"México,"
Santiago de Chile,,"Santiago de Chile,"
México,,"México,"
La Habana,,"La Habana,"
La Habana,,"La Habana,"
La Habana,,"La Habana,"
México,,"México,"
Barcelona,,"Barcelona,"
Barcelona,,"Barcelona,"
"México, D.F.",,"México, D.F.,"
Montevideo,,"Montevideo,"
,,","
Vaduz,,"Vaduz,"
La Habana,,"La Habana,"
La Habana,,"La Habana,"
Madrid,,"Madrid,"
Paris,,"Paris,"
,,","
,,","
,,","
,,","
Paris,,"Paris,"
Frankfurt,,"Frankfurt,"
Madrid,,"Madrid,"
Barcelona,,"Barcelona,"
Madrid,,"Madrid,"
La Habana,,"La Habana,"
"Madrid : Cátedra, 1980",,"Madrid : Cátedra, 1980,"
Madrid,,"Madrid,"
Barcelona,,"Barcelona,"
,,","
,,","
"México, D.F",,"México, D.F,"
,,","
,,","
,,","
,,","
,,","
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
"Mexico City, MEX",United States,"Mexico City, MEX, United States"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
"Westport, CT",United States,"Westport, CT, United States"
,,","
"Leeds, NYK",England,"Leeds, NYK, England"
Havana,Cuba,"Havana, Cuba"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
"Galisteo, CAR",Spain,"Galisteo, CAR, Spain"
London,England,"London, England"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
Madrid,Spain,"Madrid, Spain"
Castries,St. Lucia,"Castries, St. Lucia"
Castries,St. Lucia,"Castries, St. Lucia"
Castries,St. Lucia,"Castries, St. Lucia"
Castries,St. Lucia,"Castries, St. Lucia"
Castries,Cuba,"Castries, Cuba"
Castries,Cuba,"Castries, Cuba"
"Haarlem, NH",Netherlands,"Haarlem, NH, Netherlands"
"Haarlem, NH",Netherlands,"Haarlem, NH, Netherlands"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Harlow, Essex",England,"Harlow, Essex, England"
"Chicago, IL",United States,"Chicago, IL, United States"
London,England,"London, England"
"San Juan, PR",United States,"San Juan, PR, United States"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"Alexandria, VA",United States,"Alexandria, VA, United States"
London,England,"London, England"
London,England,"London, England"
